Distancia,Velocidad,Salto
10,-20,1
10,-20,1
30,-20,1
50,-20,1
900,-25,0
875,-25,0
850,-25,0
825,-25,0
800,-25,0
775,-25,0
750,-25,0
725,-25,0
700,-25,0
675,-25,0
650,-25,0
625,-25,0
600,-25,0
575,-25,0
550,-25,0
525,-25,0
500,-25,0
475,-25,0
450,-25,0
425,-25,0
400,-25,0
375,-25,1
350,-25,1
325,-25,1
300,-25,1
275,-25,1
250,-25,1
225,-25,1
200,-25,1
175,-25,1
150,-25,1
125,-25,1
100,-25,1
75,-25,1
50,-25,1
25,-25,1
0,-25,1
25,-25,1
50,-25,1
898,-21,0
877,-21,0
856,-21,0
835,-21,0
814,-21,0
793,-21,0
772,-21,0
751,-21,0
730,-21,0
709,-21,0
688,-21,0
667,-21,0
646,-21,0
625,-21,0
604,-21,0
583,-21,0
562,-21,0
541,-21,0
520,-21,0
499,-21,0
478,-21,0
457,-21,0
436,-21,0
415,-21,0
394,-21,0
373,-21,0
352,-21,1
331,-21,1
310,-21,1
289,-21,1
268,-21,1
247,-21,1
226,-21,1
205,-21,1
184,-21,1
163,-21,1
142,-21,1
121,-21,1
100,-21,1
79,-21,1
58,-21,1
37,-21,1
16,-21,1
5,-21,1
26,-21,1
47,-21,1
920,-23,0
897,-23,0
874,-23,0
851,-23,0
828,-23,0
805,-23,0
782,-23,0
759,-23,0
736,-23,0
713,-23,0
690,-23,0
667,-23,0
644,-23,0
621,-23,0
598,-23,0
575,-23,0
552,-23,0
529,-23,0
506,-23,0
483,-23,0
460,-23,0
437,-23,0
414,-23,0
391,-23,0
368,-23,0
345,-23,1
322,-23,1
299,-23,1
276,-23,1
253,-23,1
230,-23,1
207,-23,1
184,-23,1
161,-23,1
138,-23,1
115,-23,1
92,-23,1
69,-23,1
46,-23,1
23,-23,1
0,-23,1
23,-23,1
46,-23,1
898,-21,0
877,-21,0
856,-21,0
835,-21,0
814,-21,0
793,-21,0
772,-21,0
751,-21,0
730,-21,0
709,-21,0
688,-21,0
667,-21,0
646,-21,0
625,-21,0
604,-21,0
583,-21,0
562,-21,0
541,-21,0
520,-21,0
499,-21,0
478,-21,0
457,-21,0
436,-21,0
415,-21,0
394,-21,0
373,-21,0
352,-21,1
331,-21,1
310,-21,1
289,-21,1
268,-21,1
247,-21,1
226,-21,1
205,-21,1
184,-21,1
163,-21,1
142,-21,1
121,-21,1
100,-21,1
79,-21,1
58,-21,1
37,-21,1
16,-21,1
5,-21,1
26,-21,1
47,-21,1
900,-25,0
875,-25,0
850,-25,0
825,-25,0
800,-25,0
775,-25,0
750,-25,0
725,-25,0
700,-25,0
675,-25,0
650,-25,0
625,-25,0
600,-25,0
575,-25,0
550,-25,0
525,-25,0
500,-25,0
475,-25,0
450,-25,0
425,-25,0
400,-25,0
375,-25,0
350,-25,1
325,-25,1
300,-25,1
275,-25,1
250,-25,1
225,-25,1
200,-25,1
175,-25,1
150,-25,1
125,-25,1
100,-25,1
75,-25,1
50,-25,1
25,-25,1
0,-25,1
25,-25,1
50,-25,1
838,-24,0
814,-24,0
790,-24,0
766,-24,0
742,-24,0
718,-24,0
694,-24,0
670,-24,0
646,-24,0
622,-24,0
598,-24,0
574,-24,0
550,-24,0
526,-24,0
502,-24,0
478,-24,0
454,-24,0
430,-24,0
406,-24,0
382,-24,1
358,-24,1
334,-24,1
310,-24,1
286,-24,1
262,-24,1
238,-24,1
214,-24,1
190,-24,1
166,-24,1
142,-24,1
118,-24,1
94,-24,1
70,-24,1
46,-24,1
22,-24,1
2,-24,1
26,-24,1
50,-24,1
908,-22,0
886,-22,0
864,-22,0
842,-22,0
820,-22,0
798,-22,0
776,-22,0
754,-22,0
732,-22,0
710,-22,0
688,-22,0
666,-22,0
644,-22,0
622,-22,0
600,-22,0
578,-22,0
556,-22,0
534,-22,0
512,-22,0
490,-22,0
468,-22,0
446,-22,0
424,-22,0
402,-22,0
380,-22,0
358,-22,0
336,-22,1
314,-22,1
292,-22,1
270,-22,1
248,-22,1
226,-22,1
204,-22,1
182,-22,1
160,-22,1
138,-22,1
116,-22,1
94,-22,1
72,-22,1
50,-22,1
28,-22,1
6,-22,1
16,-22,1
38,-22,1
910,-20,0
890,-20,0
870,-20,0
850,-20,0
830,-20,0
810,-20,0
790,-20,0
770,-20,0
750,-20,0
730,-20,0
710,-20,0
690,-20,0
670,-20,0
650,-20,0
630,-20,0
610,-20,0
590,-20,0
570,-20,0
550,-20,0
530,-20,0
510,-20,0
490,-20,0
470,-20,0
450,-20,0
430,-20,0
410,-20,0
390,-20,0
370,-20,0
350,-20,0
330,-20,0
310,-20,1
290,-20,1
270,-20,1
250,-20,1
230,-20,1
210,-20,1
190,-20,1
170,-20,1
150,-20,1
130,-20,1
110,-20,1
90,-20,1
70,-20,1
50,-20,1
30,-20,1
10,-20,1
10,-20,1
30,-20,1
50,-20,1
886,-24,0
862,-24,0
838,-24,0
814,-24,0
790,-24,0
766,-24,0
742,-24,0
718,-24,0
694,-24,0
670,-24,0
646,-24,0
622,-24,0
598,-24,0
574,-24,0
550,-24,0
526,-24,0
502,-24,0
478,-24,0
454,-24,0
430,-24,0
406,-24,0
382,-24,0
358,-24,0
334,-24,0
310,-24,1
286,-24,1
262,-24,1
238,-24,1
214,-24,1
190,-24,1
166,-24,1
142,-24,1
118,-24,1
94,-24,1
70,-24,1
46,-24,1
22,-24,1
2,-24,1
26,-24,1
50,-24,1
814,-24,0
790,-24,0
766,-24,0
742,-24,0
718,-24,0
694,-24,0
670,-24,0
646,-24,0
622,-24,0
598,-24,0
574,-24,0
550,-24,0
526,-24,0
502,-24,0
478,-24,0
454,-24,0
430,-24,0
406,-24,0
382,-24,1
358,-24,1
334,-24,1
310,-24,1
286,-24,1
262,-24,1
238,-24,1
214,-24,1
190,-24,1
166,-24,1
142,-24,1
118,-24,1
94,-24,1
70,-24,1
46,-24,1
22,-24,1
2,-24,1
26,-24,1
50,-24,1
875,-25,0
850,-25,0
825,-25,0
800,-25,0
775,-25,0
750,-25,0
725,-25,0
700,-25,0
675,-25,0
650,-25,0
625,-25,0
600,-25,0
575,-25,0
550,-25,0
525,-25,0
500,-25,0
475,-25,0
450,-25,0
425,-25,0
400,-25,0
375,-25,0
350,-25,0
325,-25,0
300,-25,0
275,-25,0
250,-25,0
225,-25,0
200,-25,0
175,-25,0
